[2022-06-26 08:36:00 PM-uap_sgd.py-INFO:2022-06-26 20:36:00.228469 | Saved best perturbation at ./perturbations/pert_sgd-uap_inception_v3_epoch2.npy]
[2022-06-26 08:38:42 PM-uap_sgd.py-INFO:2022-06-26 20:38:42.013654 | Epoch:  2 | accuracy = 0.653 | uap: min=-0.07843 max=0.00000 mean=-0.03836]
[2022-06-26 08:41:34 PM-uap_sgd.py-INFO:2022-06-26 20:41:34.449880 | Epoch:  3 | accuracy = 0.643 | uap: min=-0.07843 max=0.00000 mean=-0.03822]
[2022-06-26 08:44:21 PM-uap_sgd.py-INFO:2022-06-26 20:44:21.890385 | Epoch:  4 | accuracy = 0.638 | uap: min=-0.07843 max=0.00000 mean=-0.03820]
[2022-06-26 08:47:06 PM-uap_sgd.py-INFO:2022-06-26 20:47:06.124207 | Epoch:  5 | accuracy = 0.6575 | uap: min=-0.07843 max=0.00000 mean=-0.03823]
[2022-06-26 08:50:03 PM-uap_sgd.py-INFO:2022-06-26 20:50:03.283526 | Epoch:  6 | accuracy = 0.644 | uap: min=-0.07843 max=0.00000 mean=-0.03825]
[2022-06-26 08:53:00 PM-uap_sgd.py-INFO:2022-06-26 20:53:00.618594 | Epoch:  7 | accuracy = 0.645 | uap: min=-0.07843 max=0.00000 mean=-0.03807]
[2022-06-26 08:56:00 PM-uap_sgd.py-INFO:2022-06-26 20:56:00.495861 | Epoch:  8 | accuracy = 0.639 | uap: min=-0.07843 max=0.00000 mean=-0.03815]
[2022-06-26 08:58:56 PM-uap_sgd.py-INFO:2022-06-26 20:58:56.214090 | Epoch:  9 | accuracy = 0.6145 | uap: min=-0.07843 max=0.00000 mean=-0.03810]
[2022-06-26 08:58:56 PM-uap_sgd.py-INFO:2022-06-26 20:58:56.215640 | Saved best perturbation at ./perturbations/pert_sgd-uap_inception_v3_epoch10.npy]
[2022-06-26 09:01:55 PM-uap_sgd.py-INFO:2022-06-26 21:01:55.010675 | Epoch: 10 | accuracy = 0.6525 | uap: min=-0.07843 max=0.00000 mean=-0.03822]
[2022-06-26 09:04:44 PM-uap_sgd.py-INFO:2022-06-26 21:04:44.662259 | Epoch: 11 | accuracy = 0.6425 | uap: min=-0.07843 max=0.00000 mean=-0.03817]
[2022-06-26 09:07:49 PM-uap_sgd.py-INFO:2022-06-26 21:07:49.476773 | Epoch: 12 | accuracy = 0.6545 | uap: min=-0.07843 max=0.00000 mean=-0.03825]
[2022-06-26 09:10:47 PM-uap_sgd.py-INFO:2022-06-26 21:10:47.634010 | Epoch: 13 | accuracy = 0.666 | uap: min=-0.07843 max=0.00000 mean=-0.03824]
[2022-06-26 09:13:36 PM-uap_sgd.py-INFO:2022-06-26 21:13:36.704521 | Epoch: 14 | accuracy = 0.6505 | uap: min=-0.07843 max=0.00000 mean=-0.03821]
[2022-06-26 09:16:36 PM-uap_sgd.py-INFO:2022-06-26 21:16:36.417430 | Epoch: 15 | accuracy = 0.627 | uap: min=-0.07843 max=0.00000 mean=-0.03823]
[2022-06-26 09:19:31 PM-uap_sgd.py-INFO:2022-06-26 21:19:31.733229 | Epoch: 16 | accuracy = 0.639 | uap: min=-0.07843 max=0.00000 mean=-0.03822]
[2022-06-26 09:22:28 PM-uap_sgd.py-INFO:2022-06-26 21:22:28.138542 | Epoch: 17 | accuracy = 0.628 | uap: min=-0.07843 max=0.00000 mean=-0.03824]
[2022-06-26 09:25:31 PM-uap_sgd.py-INFO:2022-06-26 21:25:31.046905 | Epoch: 18 | accuracy = 0.629 | uap: min=-0.07843 max=0.00000 mean=-0.03809]
[2022-06-26 09:28:23 PM-uap_sgd.py-INFO:2022-06-26 21:28:23.225747 | Epoch: 19 | accuracy = 0.6565 | uap: min=-0.07843 max=0.00000 mean=-0.03813]
[2022-06-26 09:31:15 PM-uap_sgd.py-INFO:2022-06-26 21:31:15.115740 | Epoch: 20 | accuracy = 0.638 | uap: min=-0.07843 max=0.00000 mean=-0.03815]
[2022-06-26 09:34:09 PM-uap_sgd.py-INFO:2022-06-26 21:34:09.744854 | Epoch: 21 | accuracy = 0.6105 | uap: min=-0.07843 max=0.00000 mean=-0.03823]
[2022-06-26 09:34:09 PM-uap_sgd.py-INFO:2022-06-26 21:34:09.745959 | Saved best perturbation at ./perturbations/pert_sgd-uap_inception_v3_epoch22.npy]
[2022-06-26 09:37:19 PM-uap_sgd.py-INFO:2022-06-26 21:37:19.402857 | Epoch: 22 | accuracy = 0.6455 | uap: min=-0.07843 max=0.00000 mean=-0.03820]
